2609,2025,,,9,8,,,864,9,9,3579,,,136.1,285.5,4.96,,903,10,335.2,64,33,31,21,40,,952,10,293.1,76,42,35,21,40,,680,10,319,68,37,30,17,39,,654,10,291,61,30,21,16,37,1204,,,,,,,,9.32,93.3,86.7,85.5,94.18,90.64,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test,Year,Location,Date,MaxDays,BpO,Team-1,Team-2,SeriesNo,MatchNo,SeriesMats,Margin,FO,Result,RpW,BpW,RpO,I1-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,I2-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,I3-Team,Score,Wkts,Overs,Extras,Byes,Leg Byes,Wides,No Balls,I4-Team,Score,Wkts,Overs,Extras,Byes,LegByes,Wides,NoBalls,Grd-Id,City,Ground,Result,Series,Match,Toss,MOM,PQI_Base,PQI_Match,PQI_Inns12,PQI_Inns34,TPP-1,TPP-2,TQI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1877,Australia,15-Mar-1877,9,4,Australia,England,1,1,2,2045, ,Australia,16.3,44.0,2.22,Australia,245,10,113.1,8,4,2,2,0,England,196,10,90.5,1,0,1,0,0,Australia,104,10,45.2,8,5,3,0,0,England,108,10,44.1,5,4,1,0,0,1,Melbourne,Melbourne Cricket Ground,Australia won by 45 runs,"England in Australia, 1876-77",1st Test,Australia,,2.08,34.8,47.1,22.5,59.65,40.35,8
2,1877,Australia,31-Mar-1877,9,4,Australia,England,1,2,2,1004, ,England,21.2,50.0,2.55,Australia,122,10,74.5,14,8,5,1,0,England,261,10,87,18,5,12,0,1,Australia,259,10,103.1,17,10,7,0,0,England,122,6,34.5,9,8,1,0,0,1,Melbourne,Melbourne Cricket Ground,England won by 4 wickets,"England in Australia, 1876-77",2nd Test,Australia,,2.52,42.1,39.9,44.7,44.36,55.64,7
3,1879,Australia,02-Jan-1879,9,4,Australia,England,2,1,1,1010, ,Australia,18.3,39.9,2.74,England,113,10,36,6,4,2,0,0,Australia,256,10,106.3,28,19,2,7,0,England,160,10,55.2,14,10,4,0,0,Australia,19,0,1.5,0,0,0,0,0,1,Melbourne,Melbourne Cricket Ground,Australia won by 10 wickets,"England in Australia, 1878-79",Only Test,England,,2.32,38.7,38.7,0,25.2,74.8,6
4,1880,England,06-Sep-1880,3,4,England,Australia,3,1,1,1005,FO,England,27.2,56.7,2.88,England,420,10,140.3,19,8,11,0,0,Australia,149,10,50.1,12,9,3,0,0,Australia,327,10,117.5,14,7,7,0,0,England,57,5,22.3,1,0,0,0,1,104,Oval,"Kennington Oval, London",England won by 5 wickets,"Australia in England, 1880",Only Test,England,,3.29,53,54.8,50.7,58.75,41.25,7
5,1881,Australia,31-Dec-1881,9,4,Australia,England,4,1,4,0, ,Drawn,31.8,83.9,2.27,England,294,10,113.4,7,0,6,0,1,Australia,320,10,158,18,4,11,3,0,England,308,10,153.1,14,7,2,0,5,Australia,127,3,36.4,13,9,3,1,0,1,Melbourne,Melbourne Cricket Ground,Match drawn,"England in Australia, 1881-82",1st Test,England,,3.83,58.3,58.6,58.1,41.59,44.63,4
6,1882,Australia,17-Feb-1882,9,4,Australia,England,4,2,4,1005, ,Australia,20.9,65.1,1.92,England,133,10,76.4,1,0,1,0,0,Australia,197,10,129.4,6,1,2,2,1,England,232,10,102.1,5,3,2,0,0,Australia,169,5,71.3,4,3,1,0,0,2,Sydney,Sydney Cricket Ground,Australia won by 5 wickets,"England in Australia, 1881-82",2nd Test,England,,2.74,45.7,39.9,51.7,42.2,57.8,7
7,1882,Australia,03-Mar-1882,9,4,Australia,England,4,3,4,1006, ,Australia,19.1,52.1,2.20,England,188,10,93.4,28,22,6,0,0,Australia,262,10,114.4,14,6,6,2,0,England,134,10,53.3,3,2,0,0,1,Australia,64,4,33.1,6,2,3,1,0,2,Sydney,Sydney Cricket Ground,Australia won by 6 wickets,"England in Australia, 1881-82",3rd Test,England,,2.35,39.2,47.5,27.8,38.49,61.51,6
8,1882,Australia,10-Mar-1882,9,4,Australia,England,4,4,4,0, ,Drawn,38.3,76.5,3.01,England,309,10,106.2,17,10,7,0,0,Australia,300,10,108.5,16,2,7,6,1,England,234,2,65.1,14,12,2,0,0,Australia,0,0,0,0,0,0,0,0,1,Melbourne,Melbourne Cricket Ground,Match drawn,"England in Australia, 1881-82",4th Test,England,,4.35,63.6,63.6,0,33.26,22.94,3
9,1882,England,28-Aug-1882,3,4,England,Australia,5,1,1,2007, ,Australia,9.1,27.0,2.02,Australia,63,10,53.2,1,1,0,0,0,England,101,10,47.5,9,6,2,0,1,Australia,122,10,42,6,6,0,0,0,England,77,10,36.4,4,3,0,0,1,104,Oval,"Kennington Oval, London",Australia won by 7 runs,"Australia in England, 1882",Only Test,Australia,,1.32,22.1,21.2,23,52.73,47.27,10
10,1882,Australia,30-Dec-1882,9,4,Australia,England,6,1,4,1009,FO,Australia,22.4,55.4,2.43,Australia,291,10,112.4,11,4,2,2,3,England,177,10,71.4,12,8,1,0,3,England,169,10,66.1,1,0,1,0,0,Australia,58,1,35.3,0,0,0,0,0,1,Melbourne,Melbourne Cricket Ground,Australia won by 9 wickets,"The Ashes, 1882-83",1st Test,Australia,,2.68,44.7,46.3,42.1,71.46,28.54,6
11,1883,Australia,19-Jan-1883,9,4,Australia,England,6,2,4,3027,FO,England,18.7,46.8,2.40,England,294,10,122.3,10,3,3,0,4,Australia,114,10,65.4,10,6,3,0,1,Australia,153,10,46,1,1,0,0,0,England,0,0,0,0,0,0,0,0,1,Melbourne,Melbourne Cricket Ground,England won by an innings and 27 runs,"The Ashes, 1882-83",2nd Test,England,,2.26,37.8,37.8,0,76.6,23.4,7
12,1883,Australia,26-Jan-1883,9,4,Australia,England,6,3,4,2069, ,England,16.8,47.2,2.13,England,247,10,95.2,12,8,3,0,1,Australia,218,10,119.3,10,6,2,1,1,England,123,10,53.3,7,5,2,0,0,Australia,83,10,46.2,9,6,2,1,0,2,Sydney,Sydney Cricket Ground,England won by 69 runs,"The Ashes, 1882-83",3rd Test,England,,2.17,36.3,49.6,23,64.78,35.22,7
13,1883,Australia,17-Feb-1883,9,4,Australia,England,7,4,4,1004, ,Australia,25.6,65.7,2.34,England,263,10,103.2,12,4,7,0,1,Australia,262,10,97.2,15,10,3,2,0,England,197,10,84.3,10,8,1,0,1,Australia,199,6,108.5,18,10,4,4,0,2,Sydney,Sydney Cricket Ground,Australia won by 4 wickets,"The Ashes, 1882-83",4th Test,England,,3.19,52,52.5,51.6,44.61,55.39,7
14,1884,England,10-Jul-1884,3,4,England,Australia,8,1,3,0, ,Drawn,15.8,44.6,2.12,England,95,10,42,1,0,1,0,0,Australia,182,10,86.4,2,0,2,0,0,England,180,9,86.4,24,18,5,0,1,Australia,0,0,0,0,0,0,0,0,106,Manchester,"Old Trafford, Manchester",Match drawn,"The Ashes, 1884",1st Test,England,,2.2,36.7,36.7,0,32.21,41.72,3
